binance_price,kucoin_price,time
0.00683600,0.00687,1515456680.541472
0.00683000,0.00689989,1515456759.148258
0.00683800,0.00691995,1515456976.829843
0.00685800,0.0069,1515457011.753947
0.00683300,0.0069,1515457042.593321
0.00683600,0.00687,1515457073.43784
0.00683800,0.00689995,1515457104.285217
0.00683700,0.00689995,1515457135.122049
0.00683700,0.0068999,1515457166.038731
0.00684000,0.0068999,1515457196.893119
0.00685200,0.0068999,1515457227.741521
0.00685900,0.00688,1515457258.631206
0.00684100,0.00688,1515457289.461029
0.00681300,0.00689985,1515457320.308414
0.00685000,0.006881,1515457356.143915
0.00685400,0.00689989,1515457389.507357
0.00685100,0.006881,1515457421.163854
0.00686000,0.00689989,1515457452.002166
0.00686000,0.0069,1515457482.941976
0.00686000,0.0069,1515457513.797818
0.00686600,0.00693994,1515457544.632089
0.00686500,0.00693987,1515457575.47647
0.00686400,0.00693971,1515457606.328703
0.00686900,0.00693971,1515457637.162652
0.00686900,0.00693972,1515457668.055737
0.00688000,0.00703242,1515457698.88365
0.00687100,0.00703225,1515457729.71525
0.00688000,0.00703219,1515457760.540665
0.00687400,0.00703209,1515457792.404072
0.00687400,0.00706896,1515457823.247119
0.00687700,0.00706894,1515457854.3903
0.00687300,0.00706895,1515457885.256432
0.00690300,0.00706896,1515457916.089988
0.00690600,0.00716641,1515457946.905817
